date,city_name,daily_avg_temp,daily_max_temp,daily_min_temp,daily_avg_wind_speed,daily_max_wind_speed,daily_min_wind_speed,wind_direction,avg_relative_humidity,avg_dew_point,avg_pressure,precipitation_sum,rainy_hour_sum
2019-03-12,Adana,15.61,19.0,12.7,9.06,14.8,1.8,30.0,77.46,11.52,1016.97,0.0,0
2019-03-13,Adana,17.86,22.0,14.0,12.95,24.1,3.6,40.0,51.0,7.34,1006.76,0.0,0
2019-03-14,Adana,13.24,17.1,10.6,8.98,16.6,0.0,70.0,82.21,10.15,1009.07,0.0,0
2019-03-15,Adana,13.09,17.0,11.0,8.94,22.3,3.6,100.0,87.83,11.06,1009.28,0.0,0
2019-03-16,Adana,11.22,14.0,6.0,7.61,19.0,0.0,0.0,86.88,9.06,1009.42,0.0,0
2019-03-17,Adana,12.8,20.0,5.0,7.68,16.6,0.0,40.0,70.71,6.9,1014.23,0.0,0
2019-03-18,Adana,14.5,21.5,7.0,7.58,16.6,1.8,10.0,67.42,7.54,1018.63,0.0,0
2019-03-19,Adana,15.36,22.0,9.0,8.03,18.4,0.0,40.0,76.54,10.61,1017.78,0.0,0
2019-03-20,Adana,16.67,24.0,10.0,7.0,14.8,0.0,40.0,67.42,9.8,1016.63,0.0,0
2019-03-21,Adana,17.48,25.2,11.0,7.1,18.4,0.0,40.0,59.38,8.48,1015.34,0.0,0
2019-03-22,Adana,17.08,26.0,8.0,7.21,18.4,0.0,250.0,49.96,4.25,1015.51,0.0,0
2019-03-23,Adana,16.13,24.2,8.0,6.88,18.4,0.0,0.0,54.83,5.1,1010.73,0.0,0
2019-03-24,Adana,13.82,17.0,11.0,28.79,46.4,7.6,30.0,32.46,-4.0,1004.95,0.0,0
2019-03-25,Adana,13.73,19.1,8.6,14.0,25.9,5.4,230.0,41.21,-0.39,1003.38,0.0,0
2019-03-26,Adana,14.39,20.0,8.0,12.02,24.1,0.0,30.0,68.04,8.18,1010.78,0.0,0
2019-03-27,Adana,14.33,19.0,10.7,6.95,16.6,0.0,40.0,77.5,10.31,1015.51,0.0,0
2019-03-28,Adana,14.85,20.0,10.0,11.31,25.9,1.8,30.0,79.25,11.08,1017.68,0.0,0
2019-03-29,Adana,12.41,14.0,11.5,13.88,20.5,7.6,30.0,87.67,10.42,1011.8,0.0,0
2019-03-30,Adana,13.64,17.6,11.7,18.6,35.3,1.8,30.0,73.38,8.84,1004.98,0.0,0
2019-03-31,Adana,13.47,18.0,11.0,9.62,16.6,3.6,340.0,85.0,10.88,1004.07,0.0,0
2019-04-01,Adana,13.62,17.0,11.7,6.09,16.6,0.0,360.0,84.25,10.89,1007.25,0.0,0
2019-04-02,Adana,13.9,17.1,11.0,9.88,18.4,0.0,60.0,83.62,11.05,1011.46,0.0,0
2019-04-03,Adana,13.69,16.0,11.1,7.51,14.8,3.6,10.0,83.21,10.82,1013.46,0.0,0
2019-04-04,Adana,15.99,23.0,10.0,7.9,16.6,0.0,20.0,69.33,9.75,1013.01,0.0,0
2019-04-05,Adana,16.14,22.6,11.0,7.1,18.4,0.0,60.0,68.58,9.79,1013.98,0.0,0
2019-04-06,Adana,16.57,22.0,9.0,5.98,14.8,0.0,0.0,72.88,11.23,1013.45,0.0,0
2019-04-07,Adana,18.68,23.2,14.6,10.96,18.4,5.4,40.0,61.08,10.63,1010.86,0.0,0
2019-04-08,Adana,19.01,25.0,12.0,6.67,14.8,0.0,40.0,63.04,11.26,1008.61,0.0,0
2019-04-09,Adana,17.7,22.0,14.0,9.12,24.1,1.8,210.0,80.79,14.22,1008.37,0.0,0
2019-04-10,Adana,16.35,21.0,11.6,14.07,31.7,0.0,210.0,69.88,10.43,1012.49,0.0,0
2019-04-11,Adana,15.62,20.0,11.0,10.01,18.4,0.0,200.0,74.54,10.92,1016.25,0.0,0
2019-04-12,Adana,17.24,23.5,12.0,7.48,18.4,0.0,220.0,73.0,11.83,1016.51,0.0,0
2019-04-13,Adana,20.76,28.1,12.2,8.16,14.8,0.0,20.0,53.46,9.33,1013.08,0.0,0
2019-04-14,Adana,20.27,27.5,16.0,16.42,29.5,3.6,20.0,66.21,12.74,1007.63,0.0,0
2019-04-15,Adana,16.96,20.0,14.0,16.06,31.7,1.8,190.0,77.21,12.74,1013.03,0.0,0
2019-04-16,Adana,13.69,17.0,11.0,9.73,18.4,5.4,50.0,88.04,11.7,1009.85,0.0,0
2019-04-17,Adana,13.87,20.0,10.0,9.01,22.3,1.8,50.0,83.75,11.01,1009.85,0.0,0
2019-04-18,Adana,14.22,18.5,11.0,11.68,22.3,1.8,30.0,71.88,8.94,1013.89,0.0,0
2019-04-19,Adana,13.15,18.6,9.0,10.18,33.5,1.8,50.0,79.0,9.42,1012.15,0.0,0
2019-04-20,Adana,12.55,16.0,10.0,9.01,20.5,1.8,40.0,70.54,6.85,1011.88,0.0,0
2019-04-21,Adana,14.68,19.0,9.0,15.98,29.5,0.0,330.0,43.75,1.35,1009.52,0.0,0
2019-04-22,Adana,15.19,21.0,7.2,10.52,22.3,0.0,50.0,42.79,1.46,1013.65,0.0,0
2019-04-23,Adana,15.14,21.2,7.0,8.97,22.3,0.0,230.0,59.67,6.15,1022.53,0.0,0
2019-04-24,Adana,17.25,24.7,10.7,8.68,20.5,0.0,,56.96,7.19,1024.45,0.0,0
2019-04-25,Adana,19.45,27.0,10.0,7.58,18.4,0.0,260.0,48.46,7.09,1020.66,0.0,0
2019-04-26,Adana,20.52,27.0,13.0,7.08,16.6,1.8,230.0,52.58,9.7,1016.44,0.0,0
2019-04-27,Adana,21.02,26.1,16.5,8.07,14.8,0.0,60.0,57.71,11.9,1014.24,0.0,0
2019-04-28,Adana,21.9,29.0,15.5,7.13,20.5,0.0,40.0,54.17,11.37,1013.31,0.0,0
2019-04-29,Adana,22.71,31.1,16.0,7.63,18.4,0.0,60.0,52.42,11.28,1013.39,0.0,0
2019-04-30,Adana,23.62,31.2,16.0,10.02,22.3,0.0,40.0,55.21,13.17,1013.68,0.0,0
2019-05-01,Adana,21.59,28.0,16.0,7.43,20.5,0.0,,74.29,16.35,1012.65,0.0,0
2019-05-02,Adana,21.69,28.6,17.0,10.55,24.1,1.8,40.0,64.29,13.98,1008.02,0.0,0
2019-05-03,Adana,18.2,24.0,12.7,14.12,25.9,3.6,120.0,70.38,12.46,1009.73,0.0,0
2019-05-04,Adana,18.69,24.2,11.7,11.38,22.3,0.0,50.0,71.62,13.04,1013.63,0.0,0
2019-05-05,Adana,21.87,27.0,16.2,8.16,14.8,3.6,40.0,55.04,11.36,1014.78,0.0,0
2019-05-06,Adana,25.32,32.0,20.0,16.14,25.9,9.4,20.0,44.29,11.57,1009.44,0.0,0
2019-05-07,Adana,20.06,24.0,15.0,12.68,22.3,0.0,200.0,68.96,13.95,1011.62,0.0,0
2019-05-08,Adana,18.36,23.0,14.0,12.69,29.5,0.0,210.0,62.04,10.49,1011.22,0.0,0
2019-05-09,Adana,18.16,24.0,13.0,9.98,24.1,1.8,40.0,62.17,9.83,1011.81,0.0,0
2019-05-10,Adana,18.46,23.2,14.0,10.1,24.1,1.8,220.0,69.67,12.33,1013.8,0.0,0
